book_filename,book_number,book_name,paragraph_number,original_paragraph_index,word_count,output_filename
001_A-Man-of-Means.txt,001,A-Man-of-Means,1,34,103,001_A-Man-of-Means_01.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,2,37,121,001_A-Man-of-Means_02.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,3,83,158,001_A-Man-of-Means_03.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,4,87,106,001_A-Man-of-Means_04.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,5,265,129,001_A-Man-of-Means_05.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,6,266,119,001_A-Man-of-Means_06.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,7,315,116,001_A-Man-of-Means_07.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,8,326,101,001_A-Man-of-Means_08.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,9,328,112,001_A-Man-of-Means_09.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,10,464,100,001_A-Man-of-Means_10.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,11,495,131,001_A-Man-of-Means_11.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,12,522,155,001_A-Man-of-Means_12.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,13,580,121,001_A-Man-of-Means_13.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,14,598,116,001_A-Man-of-Means_14.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,15,664,157,001_A-Man-of-Means_15.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,16,703,124,001_A-Man-of-Means_16.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,17,713,122,001_A-Man-of-Means_17.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,18,790,103,001_A-Man-of-Means_18.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,19,817,106,001_A-Man-of-Means_19.txt
001_A-Man-of-Means.txt,001,A-Man-of-Means,20,821,150,001_A-Man-of-Means_20.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,1,27,113,002_A-Prefect's-Uncle_01.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,2,76,114,002_A-Prefect's-Uncle_02.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,3,103,189,002_A-Prefect's-Uncle_03.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,4,246,151,002_A-Prefect's-Uncle_04.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,5,327,118,002_A-Prefect's-Uncle_05.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,6,399,164,002_A-Prefect's-Uncle_06.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,7,402,176,002_A-Prefect's-Uncle_07.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,8,426,160,002_A-Prefect's-Uncle_08.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,9,460,111,002_A-Prefect's-Uncle_09.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,10,652,120,002_A-Prefect's-Uncle_10.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,11,654,136,002_A-Prefect's-Uncle_11.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,12,673,175,002_A-Prefect's-Uncle_12.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,13,692,181,002_A-Prefect's-Uncle_13.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,14,694,137,002_A-Prefect's-Uncle_14.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,15,701,157,002_A-Prefect's-Uncle_15.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,16,888,175,002_A-Prefect's-Uncle_16.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,17,963,206,002_A-Prefect's-Uncle_17.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,18,994,109,002_A-Prefect's-Uncle_18.txt
002_A-Prefect's-Uncle.txt,002,A-Prefect's-Uncle,19,1173,237,002_A-Prefect's-Uncle_19.txt
